order	source_file	source_row	front	meaning
101	Adjective-i.txt	32	<ruby>暖かい<rt>あたたかい</rt></ruby>	Warm
102	Adjective-i.txt	33	<ruby>涼しい<rt>すずしい</rt></ruby>	Cool
103	Adjective-i.txt	44	<ruby>背が高い<rt>せがたかい</rt></ruby>	Tall
104	Adjective-i.txt	45	<ruby>背が低い<rt>せがひくい</rt></ruby>	Short
105	Adjective-i.txt	61	<ruby>偉い<rt>えらい</rt></ruby>	Great (person)
106	Adjective-i.txt	62	ちょうどいい	Just right (size/time)
107	Adjective-i.txt	63	うるさい	Noisy
108	Adjective-i.txt	64	おかしい	Strange
109	Adjective-i.txt	65	<ruby>苦い<rt>にがい</rt></ruby>	Bitter
110	Adjective-i.txt	72	<ruby>寂しい<rt>さびしい</rt></ruby>	Lonely
111	Adjective-i.txt	73	<ruby>恥ずかしい<rt>はずかしい</rt></ruby>	Embarrassed
112	Adjective-i.txt	74	<ruby>固い<rt>かたい</rt></ruby>	Hard
113	Adjective-i.txt	75	<ruby>柔らかい<rt>やわらかい</rt></ruby>	Soft
114	Adjective-i.txt	76	<ruby>珍しい<rt>めずらしい</rt></ruby>	Rare
115	Adjective-i.txt	77	うまい	Tasty
116	Adjective-i.txt	78	まずい	Not tasty
117	Adjective-i.txt	79	<ruby>濃い<rt>こい</rt></ruby>	Strong flavor
118	Adjective-i.txt	80	<ruby>薄い<rt>うすい</rt></ruby>	Little taste
119	Adjective-i.txt	81	<ruby>太い<rt>ふとい</rt></ruby>	Thick
120	Adjective-i.txt	82	<ruby>細い・薄い<rt>ほそい</rt></ruby>	Thin
121	Adjective-i.txt	83	ひどい	Awful
122	Adjective-i.txt	84	<ruby>怖い<rt>こわい</rt></ruby>	Scary
123	Adjective-i.txt	85	<ruby>厳しい<rt>きびしい</rt></ruby>	Strict
