#separator:tab
#html:false
#columns:Front	Back
珍しい	めずらしいです, めずらしくない, めずらしくて, めずらしかった, めずらしくなかった, Rare
うまい	うまいです, うまくない, うまくて, うまかった, うまくなかった, Tasty
まずい	まずいです, まずくない, まずくて, まずかった, まずくなかった, Not tasty
濃い	こいです, こくない, こくて, こかった, こくなかった, Strong flavor
薄い	うすいです, うすくない, うすくて, うすかった, うすくなかった, Little taste
太い	ふといです, ふとくない, ふとくて, ふとかった, ふとくなかった, Thick
細い・薄い	ほそいです, ほそくない, ほそくて, ほそかった, ほそくなかった, Thin
ひどい	ひどいです, ひどくない, ひどくて, ひどかった, ひどくなかった, Awful
怖い	こわいです, こわくない, こわくて, こわかった, こわくなかった, Scary
厳しい	きびしいです, きびしくない, きびしくて, きびしかった, きびしくなかった, Strict
