#separator:tab
#html:false
#columns:Front	Back
来ます	きます, くる, こない, きて／きた, こられる, こよう, Come
連れてきます	つれてきます, つれてくる, つれてこない, つれてきて／た, つれてこられます, つれてこよう, Take a person
持ってきます	もってきます, もってくる, もってこない, もってきて／た, もってこられます, もってこよう, Bring a thing
します	します, する, しない, して／した, できる, しよう, Do
勉強します	べんきょうします, する, しない, して／した, できる, しよう, Study
料理します	りょうりします, する, しない, して／した, できる, しよう, Cook
運転します	うんてんします, する, しない, して／した, できる, しよう, Drive
洗濯します	せんたくします, する, しない, して／した, できる, しよう, Wash the clothes
掃除します	そうじします, する, しない, して／した, できる, しよう, Clean up
電話します	でんわします, する, しない, して／した, できる, しよう, Make a call
宿題します	しゅくだいします, する, しない, して／した, できる, しよう, Do homework
テニスします	テニスします, する, しない, して／した, できる, しよう, Play tennis
買い物します	かいものします, する, しない, して／した, できる, しよう, Do shopping
食事します	しょくじします, する, しない, して／した, できる, しよう, Have meal
散歩します	さんぽします, する, しない, して／した, できる, しよう, Take a walk
研究します	けんきゅうします, する, しない, して／した, できる, しよう, Research
心配します	しんぱいします, する, しない, して／した, できる, しよう, Worry
出張します	しゅっちょうします, する, しない, して／した, できる, しよう, Do business trip
練習します	れんしゅうします, する, しない, して／した, できる, しよう, Practice
故障します	こしょうします, する, しない, して／した, できる, しよう, Break down
紹介します	しょうかいします, する, しない, して／した, できる, しよう, Introduce
案内します	あんないします, する, しない, して／した, できる, しよう, Guide
準備します	じゅんびします, する, しない, して／した, できる, しよう, Prepare
