#separator:tab
#html:false
#columns:Front	Back
行きます	いきます, いく, いかない, いって／た, いけます, いこう, Go
帰ります	かえります, かえる, かえらない, かえって／た, かえれます, かえろう, Go back
聞きます	ききます, きく, きかない, きいて／た, きけます, きこう, Listen
飲みます	のみます, のむ, のまない, のんで／た, のめます, のもう, Drink
話します	はなします, はなす, はなさない, はなして／た, はなせます, はなそう, Speak
読みます	よみます, よむ, よまない, よんで／た, よめます, よもう, Read
会います	あいます, あう, あわない, あって／た, あえます, あおう, Meet
書きます	かきます, かく, かかない, かいて／た, かけます, かこう, Write
買います	かいます, かう, かわない, かって／た, かえます, かおう, Buy
取ります	とります, とる, とらない, とって／た, とれます, とろう, Take
待ちます	まちます, まつ, またない, まって／た, まてます, まとう, Wait
分かります	わかります, わかる, わからない, わかって／た, ×, ×, Understand
泳ぎます	およぎます, およぐ, およがない, およいで／た, およげます, およごう, Swim
聞きます	ききます, きく, きかない, きいて／た, きけます, きこう, Ask
乗ります	のります, のる, のらない, のって／た, のれます, のろう, Ride/Get on
歌います	うたいます, うたう, うたわない, うたって／た, うたえます, うたおう, Sing
かぶります	かぶります, かぶる, かぶらない, かぶって／た, かぶれます, かぶろう, Put on a hat
知ります	しります, しる, しらない, しって／た, ×, しろう, Know
住みます	すみます, すむ, すまない, すんで／た, すめます, すもう, Live
はきます	はきます, はく, はかない, はいて／た, はけます, はこう, Put on (shoes)
働きます	はたらきます, はたらく, はたらかない, はたらいて／た, はたらけます, はたらこう, Work
休みます	やすみます, やすむ, やすまない, やすんで／だ, やすめます, やすもう, Rest/Absent
終わります	おわります, おわる, おわらない, おわって／た, おわれます, おわろう, Finish
吸います	すいます, すう, すわない, すって／た, すえます, すおう, Smoke
切ります	きります, きる, きらない, きって／た, きれます, きろう, Cut
送ります	おくります, おくる, おくらない, おくって／た, おくれます, おくろう, Send
もらいます	もらいます, もらう, もらわない, もらって／た, もらえます, もらおう, Get/receive
貸します	かします, かす, かさない, かして／た, かせます, かそう, Lend/Rent
習います	ならいます, ならう, ならわない, ならって／た, ならえます, ならおう, Learn
かかります	かかります, かかる, かからない, かかって／た, ×, ×, It takes/Cost
遊びます	あそびます, あそぶ, あそばない, あそんで／だ, あそべます, あそぼう, Play/Go out
消します	けします, けす, けさない, けして／た, けせます, けそう, Turn off
立ちます	たちます, たつ, たたない, たって／た, たてます, たとう, Stand
使います	つかいます, つかう, つかわない, つかって／た, つかえます, つかおう, Use
座ります	すわります, すわる, すわない, すわって／た, すわれます, すわろう, Sit
急ぎます	いそぎます, いそぐ, いそがない, いそいで／だ, いそげます, いそごう, Hurry
持ちます	もちます, もつ, もたない, もって／た, もてます, もとう, Hold
入ります	はいります, はいる, はいらない, はいって／た, はいれます, はいろう, Come in/Enter
手伝います	てつだいます, てつだう, てつだわない, てつだって／た, てつだえます, てつだおう, Help
呼びます	よびます, よぶ, よばない, よんで／だ, よべます, よぼう, Call
降ります	ふります, ふる, ふらない, ふって／た, ×, ×, Fall
置きます	おきます, おく, おかない, おいて／た, おけます, おこう, Put
作ります	つくります, つくる, つくらない, つくって／た, つくれます, つくろう, Make
売ります	うります, うる, うらない, うって／た, うれます, うろう, Sell
思い出します	おもいだします, おもいだす, おもいださない, おもいだして／た, おもいだせます, おもいだそう, Remember
なくします	なくします, なくす, なくさない, なくして／た, ×, ×, Lose
払います	はらいます, はらう, はらわない, はらって／た, はらえます, はらおう, Pay
返します	かえします, かえす, かえさない, かえして／た, かせます, かえそう, Return
脱ぎます	ぬぎます, ぬぐ, ぬがない, ぬいで／だ, ぬげます, ぬごう, Take off
洗います	あらいます, あらう, あらわない, あらって／た, あらえます, あらおう, Wash
弾きます	ひきます, ひく, ひかない, ひいて／た, ひけます, ひこう, Play instrumental
登ります	のぼります, のぼる, のぼらない, のぼって／た, のぼれます, のぼろう, Climb
泊まります	とまります, とまる, とまらない, とまって／た, とまれます, とまろう, Stay (at hotel)
なります	なります, なる, ならない, なって／た, なれます, なろう, Become
いります	いります, いる, いらない, ×, ×, ×, Need
思います	おもいます, おもう, おもわない, おもって／た, おもえます, おもおう, Think/Guess
言います	いいます, いう, いわない, いって／た, いえます, いおう, Say/Tell
勝ちます	かちます, かつ, かたない, かって／た, かてます, かとう, Win
動きます	うごきます, うごく, うごかない, うごいて／た, うごけます, うごこう, Move
役に立ちます	やくにたちます, やくにたつ, やくにたたない, やくにたって／た, やくにたてます, やくにたとう, Useful
渡ります	わたります, わたる, わたらない, わたって／た, わたれます, わたろう, Cross
曲がります	まがります, まがる, まがらない, まがって／た, まがれます, まがろう, Turn a corner
直します	なおします, なおす, なおさない, なおして／た, なおせます, なおそう, Repair
着きます	つきます, つく, つかない, ついて／た, つけます, つこう, Arrive
年を取ります	としをとります, としをとる, としをとらない, としをとって／た, としをとれます, としをとろう, Get old
探します	さがします, さがす, さがさない, さがして／た, さがせます, さがそう, Look for
間に合います	まにあいます, まにあう, まにあわない, まにあって／た, まにあえます, まにあおう, In time
