order	source_file	source_row	front	meaning
83	VerbG2.txt	11	<ruby>借りる<rt>かりる</rt></ruby>	Borrow
84	VerbG2.txt	12	<ruby>閉める<rt>しめる</rt></ruby>	Close
85	VerbG2.txt	17	<ruby>捨てる<rt>すてる</rt></ruby>	Throw away
86	VerbG2.txt	21	<ruby>止める<rt>とめる</rt></ruby>	Stop
87	VerbG2.txt	22	<ruby>見せる<rt>みせる</rt></ruby>	Show
88	VerbG2.txt	23	<ruby>浴びる<rt>あびる</rt></ruby>	Take a shower
89	VerbG2.txt	26	<ruby>集める<rt>あつめる</rt></ruby>	Collect
90	VerbG2.txt	27	<ruby>変える<rt>かえる</rt></ruby>	Change
91	VerbG2.txt	29	<ruby>負ける<rt>まける</rt></ruby>	Lose
92	VerbG2.txt	30	やめる	Quit
93	VerbG2.txt	31	<ruby>気をつける<rt>きをつける</rt></ruby>	Watch out
94	VerbG2.txt	32	<ruby>生まれる<rt>うまれる</rt></ruby>	Born
95	VerbG2.txt	34	<ruby>足りる<rt>たりる</rt></ruby>	It's enough
96	VerbG2.txt	35	<ruby>遅れる<rt>おくれる</rt></ruby>	Be late
97	VerbG3.txt	3	<ruby>持ってくる<rt>もってくる</rt></ruby>	Bring a thing
98	VerbG3.txt	6	<ruby>料理する<rt>りょうりする</rt></ruby>	Cook
99	VerbG3.txt	7	<ruby>運転する<rt>うんてんする</rt></ruby>	Drive
100	VerbG3.txt	8	<ruby>洗濯する<rt>せんたくする</rt></ruby>	Wash the clothes
101	VerbG3.txt	9	<ruby>掃除する<rt>そうじする</rt></ruby>	Clean up
102	VerbG3.txt	11	<ruby>宿題する<rt>しゅくだいする</rt></ruby>	Do homework
103	VerbG3.txt	13	<ruby>買い物する<rt>かいものする</rt></ruby>	Do shopping
104	VerbG3.txt	14	<ruby>食事する<rt>しょくじする</rt></ruby>	Have meal
105	VerbG3.txt	17	<ruby>心配する<rt>しんぱいする</rt></ruby>	Worry
106	VerbG3.txt	19	<ruby>練習する<rt>れんしゅうする</rt></ruby>	Practice
107	VerbG3.txt	21	<ruby>紹介する<rt>しょうかいする</rt></ruby>	Introduce
108	VerbG3.txt	23	<ruby>準備する<rt>じゅんびする</rt></ruby>	Prepare
109	VerbG1.txt	13	<ruby>泳ぐ<rt>およぐ</rt></ruby>	Swim
110	VerbG1.txt	17	かぶる	Put on a hat
111	VerbG1.txt	24	<ruby>吸う<rt>すう</rt></ruby>	Smoke
112	VerbG1.txt	51	<ruby>弾く<rt>ひく</rt></ruby>	Play instrumental
113	VerbG1.txt	52	<ruby>登る<rt>のぼる</rt></ruby>	Climb
114	VerbG1.txt	53	<ruby>泊まる<rt>とまる</rt></ruby>	Stay (at hotel)
115	VerbG1.txt	60	<ruby>役に立つ<rt>やくにたつ</rt></ruby>	Useful
116	VerbG1.txt	65	<ruby>年を取る<rt>としをとる</rt></ruby>	Get old
117	VerbG2.txt	6	めがねをかける	Put on glasses
118	VerbG3.txt	2	<ruby>連れてくる<rt>つれてくる</rt></ruby>	Take a person
119	VerbG3.txt	12	テニスする	Play tennis
120	VerbG3.txt	15	<ruby>散歩する<rt>さんぽする</rt></ruby>	Take a walk
121	VerbG3.txt	16	<ruby>研究する<rt>けんきゅうする</rt></ruby>	Research
122	VerbG3.txt	18	<ruby>出張する<rt>しゅっちょうする</rt></ruby>	Do business trip
123	VerbG3.txt	20	<ruby>故障する<rt>こしょうする</rt></ruby>	Break down
124	VerbG3.txt	22	<ruby>案内する<rt>あんないする</rt></ruby>	Guide
125	VerbG2.txt	16	<ruby>じろじろ見る<rt>じろじろみる</rt></ruby>	Stare at
